contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260407C00687000,2026-04-06 17:05:48+00:00,687.0,0.01,0.0,0.01,0.0,0.0,79.0,1836,0.32813171874999997,False,REGULAR,USD
SPY260407C00688000,2026-04-06 13:35:15+00:00,688.0,0.01,0.0,0.01,0.0,0.0,20.0,266,0.3398503515625,False,REGULAR,USD
SPY260407C00689000,2026-04-07 14:08:06+00:00,689.0,0.01,0.0,0.01,0.0,0.0,1.0,3324,0.35156898437499995,False,REGULAR,USD
SPY260407C00690000,2026-04-07 15:23:59+00:00,690.0,0.01,0.0,0.01,0.0,0.0,82.0,1713,0.35938140625,False,REGULAR,USD
SPY260407C00691000,2026-04-06 14:43:20+00:00,691.0,0.01,0.0,0.01,0.0,0.0,2732.0,2948,0.367193828125,False,REGULAR,USD
SPY260407C00692000,2026-04-06 17:11:18+00:00,692.0,0.01,0.0,0.01,0.0,0.0,1581.0,1793,0.37500625,False,REGULAR,USD
SPY260407C00693000,2026-04-06 14:09:53+00:00,693.0,0.01,0.0,0.01,0.0,0.0,10.0,176,0.38281867187499996,False,REGULAR,USD
SPY260407C00694000,2026-04-06 19:06:22+00:00,694.0,0.01,0.0,0.01,0.0,0.0,23.0,192,0.39063109375,False,REGULAR,USD
SPY260407C00695000,2026-04-06 19:06:22+00:00,695.0,0.01,0.0,0.01,0.0,0.0,22.0,306,0.398443515625,False,REGULAR,USD
SPY260407C00696000,2026-04-01 20:08:44+00:00,696.0,0.01,0.0,0.01,0.0,0.0,172.0,329,0.414068359375,False,REGULAR,USD
SPY260407C00697000,2026-04-01 19:36:44+00:00,697.0,0.02,0.0,0.01,0.0,0.0,12.0,1691,0.42188078125,False,REGULAR,USD
SPY260407C00698000,2026-04-01 19:37:26+00:00,698.0,0.01,0.0,0.01,0.0,0.0,882.0,578,0.42969320312500003,False,REGULAR,USD
SPY260407C00699000,2026-04-02 17:35:14+00:00,699.0,0.01,0.0,0.01,0.0,0.0,26.0,42,0.437505625,False,REGULAR,USD
SPY260407C00700000,2026-04-07 16:04:56+00:00,700.0,0.01,0.0,0.01,0.0,0.0,1.0,381,0.445318046875,False,REGULAR,USD
SPY260407C00705000,2026-03-31 19:41:55+00:00,705.0,0.01,0.0,0.01,0.0,0.0,59.0,61,0.48438015625,False,REGULAR,USD
SPY260407C00710000,2026-04-01 16:47:37+00:00,710.0,0.01,0.0,0.01,0.0,0.0,38.0,127,0.500005,False,REGULAR,USD
SPY260407C00715000,2026-04-07 17:20:51+00:00,715.0,0.01,0.0,0.01,0.0,0.0,4.0,91,0.5312546875,False,REGULAR,USD
SPY260407C00720000,2026-04-01 17:16:20+00:00,720.0,0.01,0.0,0.01,0.0,0.0,2.0,843,0.57812921875,False,REGULAR,USD
SPY260407C00725000,2026-03-31 17:36:30+00:00,725.0,0.01,0.0,0.01,0.0,0.0,2.0,65,0.6250037500000001,False,REGULAR,USD
SPY260407C00730000,2026-03-31 17:34:51+00:00,730.0,0.01,0.0,0.01,0.0,0.0,1.0,25,0.6562534375000001,False,REGULAR,USD
SPY260407C00735000,2026-03-31 14:10:12+00:00,735.0,0.01,0.0,0.01,0.0,0.0,20.0,173,0.6875031250000001,False,REGULAR,USD
SPY260407C00750000,2026-04-06 13:33:32+00:00,750.0,0.01,,0.01,0.0,0.0,,2,0.8437515624999999,False,REGULAR,USD
SPY260407C00755000,2026-04-06 15:32:02+00:00,755.0,0.01,,0.01,0.0,0.0,,1,0.8906260937499999,False,REGULAR,USD
SPY260407C00760000,2026-04-06 14:12:29+00:00,760.0,0.01,0.0,0.01,0.0,0.0,100.0,351,0.87500125,False,REGULAR,USD
SPY260407C00765000,2026-03-25 19:48:20+00:00,765.0,0.01,0.0,0.01,0.0,0.0,,1105,0.9062509375,False,REGULAR,USD
SPY260407C00770000,2026-03-27 14:36:16+00:00,770.0,0.01,0.0,0.01,0.0,0.0,294.0,294,0.937500625,False,REGULAR,USD
SPY260407C00775000,2026-03-27 14:33:44+00:00,775.0,0.01,0.0,0.01,0.0,0.0,1308.0,2329,0.9687503125,False,REGULAR,USD
SPY260407C00780000,2026-03-26 19:14:16+00:00,780.0,0.01,0.0,0.01,0.0,0.0,,339,1.000005,False,REGULAR,USD
SPY260407C00785000,2026-03-26 18:21:45+00:00,785.0,0.01,0.0,0.01,0.0,0.0,,876,1.0625046875000002,False,REGULAR,USD
SPY260407C00790000,2026-03-26 15:05:20+00:00,790.0,0.01,0.0,0.01,0.0,0.0,,1002,1.09375453125,False,REGULAR,USD
SPY260407C00950000,2026-04-07 15:20:21+00:00,950.0,0.01,,0.01,0.0,0.0,2.0,2,2.1250046874999997,False,REGULAR,USD
